ID,File Name,Project Name,User story,GPT Generated seq in PlantUML format,QE1(Our Tool),QE2 (Our Tool),QE3 (Our Tool),QE4 (Our Tool),QE5 (Our Tool),QE1 (GPT),QE2 (GPT),QE3 (GPT),QE4 (GPT),QE5 (GPT)
51,g04-recycling.txt,recycling,"As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website.","@startuml
actor User
participant Website
database OrderDatabase
participant TimeSelectionModule

User -> Website: Access order scheduling
Website --> User: Present order scheduling options
User -> TimeSelectionModule: Choose flexible pick-up time
TimeSelectionModule --> OrderDatabase: Retrieve available time slots
OrderDatabase --> TimeSelectionModule: Provide available time slots
TimeSelectionModule --> User: Display available time slots
User -> TimeSelectionModule: Select pick-up time
TimeSelectionModule --> OrderDatabase: Reserve selected pick-up time
OrderDatabase --> TimeSelectionModule: Confirmation of reservation
TimeSelectionModule --> User: Confirm selected pick-up time

@enduml
",y,10,10,10,y,y,8,7,7,n
52,User Stories for Restaurant Management System.txt,Restaurant Management System,"As a manager, I want to display orders by date.","@startuml
actor Manager
database OrderDatabase
participant OrderDisplaySystem

Manager -> OrderDisplaySystem: Request to display orders by date
OrderDisplaySystem --> OrderDatabase: Retrieve orders by date
OrderDatabase --> OrderDisplaySystem: Provide orders by date
OrderDisplaySystem --> Manager: Display orders by date

@enduml",y,10,10,10,y,y,8,7,7,y
53,g26-racdam.txt,racdam,"As an archivist, I want to upload a single file.","@startuml
actor Archivist
database ArchiveDatabase
participant FileUploader

Archivist -> FileUploader: Upload a single file
FileUploader --> ArchiveDatabase: Save the uploaded file
ArchiveDatabase --> FileUploader: Confirmation of file upload

@enduml
",y,10,10,10,y,y,7,5,5,n
54,User Stories for Library Management System.txt,Library Management System,"As a librarian, I want to create information about borrowed books.","@startuml
actor Librarian
database BorrowedBooksDatabase
participant BookBorrower

Librarian -> BookBorrower: Record book borrowing information
BookBorrower --> BorrowedBooksDatabase: Save borrowed book details
BorrowedBooksDatabase --> BookBorrower: Confirmation of book borrowing information

@enduml
",y,10,10,10,y,y,10,10,10,y
55,User Stories for Library Management System.txt,Library Management System,"As a Staff, I want to edit book, so that I can correct book records those are faulty.","@startuml
actor Staff
database BookDatabase
participant BookEditor

Staff -> BookEditor: Request to edit a book
BookEditor --> BookDatabase: Retrieve book details
BookDatabase --> BookEditor: Provide book details
BookEditor -> BookEditor: Edit book details
BookEditor --> BookDatabase: Save updated book details
BookDatabase --> BookEditor: Confirmation of update
BookEditor --> Staff: Notify staff about successful update

@enduml",y,10,10,10,y,y,10,10,10,y
56,g27-culrepo.txt,culrepo,"As a library staff member, I want to upload large batches of items simultaneously, including descriptive metadata, so that I can offer service to authors efficiently.","@startuml
actor LibraryStaff
database LibraryDatabase
participant BatchUploader
participant MetadataProcessor

LibraryStaff -> BatchUploader: Upload batch of items with metadata
BatchUploader --> LibraryDatabase: Store items and metadata
LibraryDatabase --> BatchUploader: Confirmation of upload

BatchUploader -> MetadataProcessor: Process descriptive metadata
MetadataProcessor --> LibraryDatabase: Retrieve descriptive metadata
LibraryDatabase --> MetadataProcessor: Provide items with descriptive metadata
MetadataProcessor --> BatchUploader: Confirm metadata processing

@enduml",y,10,10,9,y,y,10,10,10,y
57,g26-racdam.txt,racdam,"As an archivist, I want to access metadata and visual representations of index cards, so that I can use that information to assist researchers.","@startuml
actor Archivist
database IndexCardDatabase
participant MetadataExtractor
participant VisualRepresentationGenerator
participant Researcher

Archivist -> IndexCardDatabase: Retrieve index card metadata
IndexCardDatabase --> Archivist: Provide index card metadata

Archivist -> MetadataExtractor: Extract additional metadata
MetadataExtractor --> IndexCardDatabase: Retrieve additional metadata
IndexCardDatabase --> MetadataExtractor: Provide additional metadata

Archivist -> VisualRepresentationGenerator: Generate visual representation
VisualRepresentationGenerator --> IndexCardDatabase: Retrieve data for visual representation
IndexCardDatabase --> VisualRepresentationGenerator: Provide data for visual representation

Archivist -> Researcher: Provide metadata and visual representation
Researcher --> Archivist: Acknowledge receipt of information

@enduml",y,10,9,9,y,y,10,10,10,y
58,User Stories for Restaurant Management System.txt,Restaurant Management System,"As a chef, I want to create dishes so that I can follow customer comments.","@startuml
actor Chef
database DishDatabase
participant CustomerComments

Chef -> DishDatabase: Create a new dish
DishDatabase --> Chef: Confirm creation of the new dish

Chef -> CustomerComments: Monitor customer comments for feedback
CustomerComments --> Chef: Receive comments and feedback on dishes
Chef -> DishDatabase: Update dishes based on feedback
DishDatabase --> Chef: Confirm update of dishes

@enduml",y,10,10,10,y,y,9,9,10,y
59,g04-recycling.txt,recycling,"As a user, I want to be able to give my email ID, so that I can receive notifications for new events as they are posted.","@startuml
actor User
participant EventNotificationSystem
database UserDatabase

User -> EventNotificationSystem: Provide email ID for event notifications
EventNotificationSystem --> UserDatabase: Save user's email ID
UserDatabase --> EventNotificationSystem: Confirmation of email ID storage
EventNotificationSystem --> User: Notify user about successful email registration

User -> EventNotificationSystem: Receive notification for new events
EventNotificationSystem --> User: Send notification about new events

@enduml",y,10,7,5,y,y,10,10,10,y
60,g22-rdadmp.txt,rdadmp,"As a researcher, I want to link research publications in the institutional repository or CRIS with DMP records, so that I can generate reports of research output resulting from a project.","@startuml
actor Researcher
database InstitutionalRepository
database CRIS 
participant DMP System
participant ReportGenerator

Researcher -> DMPSystem: Link DMP record with research project
DMPSystem --> Researcher: Confirmation of link

Researcher -> InstitutionalRepository: Link publication with DMP record
InstitutionalRepository --> Researcher: Confirmation of link

Researcher -> CRIS: Link publication with DMP record
CRIS --> Researcher: Confirmation of link

Researcher -> ReportGenerator: Generate research output report for a project
ReportGenerator --> DMPSystem: Retrieve linked DMP records
DMPSystem --> ReportGenerator: Provide linked DMP records
ReportGenerator --> InstitutionalRepository: Retrieve linked publications
InstitutionalRepository --> ReportGenerator: Provide linked publications
ReportGenerator --> CRIS: Retrieve linked publications
CRIS --> ReportGenerator: Provide linked publications
ReportGenerator --> Researcher: Generate and present research output report

@enduml
",y,10,7,7,y,y,10,10,10,y
61,g11-nsf.txt,nsf,"As a research participant, I want to make sure that the appearance of the prototype does not distract from the workflow, so that I can complete the user interview.","@startuml
actor ResearchParticipant
participant Prototype
participant Interviewer

ResearchParticipant -> Prototype: Engage with the prototype
Prototype --> ResearchParticipant: Display the user interface
ResearchParticipant -> Interviewer: Express concerns about distracting appearance
Interviewer --> Prototype: Make adjustments to appearance
Prototype --> Interviewer: Confirm appearance adjustments

ResearchParticipant -> Prototype: Continue engaging with the prototype
Prototype --> ResearchParticipant: Display updated user interface
ResearchParticipant -> Interviewer: Acknowledge improved appearance
Interviewer --> ResearchParticipant: Continue with the user interview

@enduml
",y,10,5,5,n,y,10,10,10,y
62,User Stories for Library Management System.txt,Library Management System,"As a member, I want to calculate the fine for delayed returns by automatically.","@startuml
actor Member
database LoanDatabase
participant FineCalculator

Member -> LoanDatabase: Retrieve loan information
LoanDatabase --> Member: Provide loan details
Member -> FineCalculator: Request fine calculation for delayed returns
FineCalculator --> LoanDatabase: Retrieve due date and return date
LoanDatabase --> FineCalculator: Provide loan details
FineCalculator --> Member: Calculate fine for delayed returns

activate Member

Member -> LoanDatabase: Return the overdue items
LoanDatabase --> Member: Update return information
Member -> FineCalculator: Request fine recalculation
FineCalculator --> LoanDatabase: Retrieve updated return information
LoanDatabase --> FineCalculator: Provide updated loan details
FineCalculator --> Member: Recalculate fine for delayed returns

deactivate Member
@enduml
",n,10,5,5,y,y,10,10,10,y
63,User Stories for Restaurant Management System.txt,Restaurant Management System,"As a cook, I want to mark items unavailable, so that Waiter can inform customers.","@startuml
actor Cook
database MenuDatabase
participant ItemAvailabilityManager
actor Waiter

Cook -> ItemAvailabilityManager: Mark item as unavailable
ItemAvailabilityManager --> MenuDatabase: Update item availability status
MenuDatabase --> ItemAvailabilityManager: Confirmation of update
ItemAvailabilityManager --> Waiter: Notify waiter about item unavailability

activate Cook

Cook -> ItemAvailabilityManager: Mark another item as unavailable
ItemAvailabilityManager --> MenuDatabase: Update item availability status
MenuDatabase --> ItemAvailabilityManager: Confirmation of update
ItemAvailabilityManager --> Waiter: Notify waiter about another item unavailability

deactivate Cook
@enduml
",n,7,5,5,n,y,10,10,10,y
64,User Stories for Restaurant Management System.txt,Restaurant Management System,"As a management user, I want to see the arrival and departure times of the employees.","@startuml
actor ManagementUser
database AttendanceDatabase
participant AttendanceTracker

ManagementUser -> AttendanceTracker: Request employee arrival and departure times
AttendanceTracker --> AttendanceDatabase: Retrieve attendance data
AttendanceDatabase --> AttendanceTracker: Provide attendance details
AttendanceTracker --> ManagementUser: Display arrival and departure times

activate ManagementUser
deactivate ManagementUser

@enduml",y,7,5,5,y,y,10,10,10,y
65,g23-archivesspace.txt,archivesspace,"As an Archivist, I want to create and edit Agent records.","@startuml
actor Archivist
database AgentDatabase
participant AgentEditor

Archivist -> AgentEditor: Create new Agent record
AgentEditor --> AgentDatabase: Save new Agent record
AgentDatabase --> AgentEditor: Confirmation of save

activate Archivist

Archivist -> AgentEditor: Edit existing Agent record
AgentEditor --> AgentDatabase: Update Agent record
AgentDatabase --> AgentEditor: Confirmation of update

deactivate Archivist
@enduml",y,8,7,6,y,y,10,10,10,y
66,g23-archivesspace.txt,archivesspace,"As an Archivist, I want to create and edit Event records.","@startuml
actor Archivist
database EventDatabase
participant EventEditor

Archivist -> EventEditor: Create new Event record
EventEditor --> EventDatabase: Save new Event record
EventDatabase --> EventEditor: Confirmation of save

activate Archivist

Archivist -> EventEditor: Edit existing Event record
EventEditor --> EventDatabase: Update Event record
EventDatabase --> EventEditor: Confirmation of update

deactivate Archivist
@enduml",y,8,7,6,y,y,10,10,10,y
67,g17-cask.txt,cask,"As an app developer, I want to share a dataset type that I had previously deployed as part of an app.","@startuml
actor AppDeveloper
database AppDatabase
participant DatasetSharingManager

AppDeveloper -> DatasetSharingManager: Request to share a dataset type
DatasetSharingManager --> AppDatabase: Retrieve information about the dataset type
AppDatabase --> DatasetSharingManager: Provide dataset type details

activate AppDeveloper

AppDeveloper -> DatasetSharingManager: Confirm sharing of the dataset type
DatasetSharingManager --> AppDatabase: Store sharing confirmation
AppDatabase --> DatasetSharingManager: Confirmation of storage

deactivate AppDeveloper
@enduml",y,10,10,10,y,y,7,5,5,n
68,User Stories for Restaurant Management System.txt,Restaurant Management System,"As a manager, I want to keep track of resources available so that I can manage inventory.","@startuml
actor Manager
database InventoryDatabase
participant InventoryManager

Manager -> InventoryManager: Access inventory management system
InventoryManager --> Manager: Display current resources and inventory status

activate Manager

Manager -> InventoryManager: Update resources or inventory
InventoryManager --> InventoryDatabase: Update inventory data
InventoryDatabase --> InventoryManager: Confirmation of update
InventoryManager --> Manager: Notify successful update

deactivate Manager
@enduml",y,10,10,10,y,y,8,8,8,n
69,g02-federalspending.txt,federalspending,"As an Owner, I want to design a schedule from the UI SME, so that I know the potential timeline of the UI improvements wanted.","@startuml
actor Owner
database ScheduleDatabase
participant UISME 
participant ScheduleDesigner

Owner -> UISME: Collaborate to gather UI improvement requirements
UISME --> Owner: Provide UI improvement details

activate Owner

Owner -> ScheduleDesigner: Design a schedule based on UI improvement requirements
ScheduleDesigner --> ScheduleDatabase: Store designed schedule
ScheduleDatabase --> ScheduleDesigner: Confirmation of storage
ScheduleDesigner --> Owner: Present the designed schedule

deactivate Owner
@enduml
",y,10,5,5,y,y,10,10,10,y
70,g24-unibath.txt,unibath,"As a depositor, I want to specify a disposal policy for my data, so that I do not accidentally breach laws or collaboration agreements.","@startuml
actor Depositor
database DataPolicyDatabase
participant DisposalPolicyManager

Depositor -> DisposalPolicyManager: Specify disposal policy for data
DisposalPolicyManager --> DataPolicyDatabase: Store disposal policy details
DataPolicyDatabase --> DisposalPolicyManager: Confirmation of storage

activate Depositor

Depositor -> DisposalPolicyManager: Review and confirm disposal policy
DisposalPolicyManager --> Depositor: Acknowledge disposal policy confirmation

deactivate Depositor
@enduml",y,10,5,5,n,y,10,10,10,y
71,g28-zooniverse.txt,zooniverse,"As a Zooniverse admin, I want to know when I should educate a volunteer.","@startuml
actor ZooniverseAdmin
database VolunteerData
participant VolunteerMonitor

ZooniverseAdmin -> VolunteerMonitor: Request volunteer activity monitoring
VolunteerMonitor --> VolunteerData: Retrieve volunteer activity data
VolunteerData --> VolunteerMonitor: Provide volunteer activity details

activate ZooniverseAdmin

ZooniverseAdmin -> VolunteerMonitor: Analyze volunteer activity for education needs
VolunteerMonitor --> ZooniverseAdmin: Notify when education is needed

deactivate ZooniverseAdmin
@enduml",y,10,5,5,y,y,10,9,9,y
72,g16-mis.txt,mis,"As a repository manager, I want to see a display of recent errors deduplicated for easy comprehension like Symplectic Elements provides.","@startuml
actor RepositoryManager
database ErrorDatabase
participant ErrorDisplayTool

RepositoryManager -> ErrorDisplayTool: Access error display tool
ErrorDisplayTool --> RepositoryManager: Display recent errors deduplicated

activate RepositoryManager

RepositoryManager -> ErrorDisplayTool: Analyze recent errors
ErrorDisplayTool --> ErrorDatabase: Retrieve recent error details
ErrorDatabase --> ErrorDisplayTool: Provide recent error information
ErrorDisplayTool --> RepositoryManager: Show deduplicated errors

deactivate RepositoryManager
@enduml
",y,10,9,9,y,y,10,10,10,y
73,g22-rdadmp.txt,rdadmp,"As an ethics manager, I want to be informed about the data, so that I can check for sensitivity of data.","@startuml
actor EthicsManager
database DataRepository
participant DataAnalyzer

EthicsManager -> DataAnalyzer: Request information about the data
DataAnalyzer --> DataRepository: Retrieve data details
DataRepository --> DataAnalyzer: Provide data information

activate EthicsManager

EthicsManager -> DataAnalyzer: Analyze data for sensitivity
DataAnalyzer --> EthicsManager: Report on data sensitivity

deactivate EthicsManager
@enduml",y,10,8,7,y,y,10,10,10,y
74,g25-duraspace.txt,duraspace,"As a repository manager, I want to indicate names related to the collection either as creator, source, or subject.","@startuml
actor RepositoryManager
database CollectionDatabase
participant MetadataEditor

RepositoryManager -> MetadataEditor: Access metadata editing tool
MetadataEditor --> RepositoryManager: Display current metadata for the collection

activate RepositoryManager

RepositoryManager -> MetadataEditor: Specify names as creator, source, or subject
MetadataEditor --> CollectionDatabase: Update collection metadata
CollectionDatabase --> MetadataEditor: Confirmation of metadata update
MetadataEditor --> RepositoryManager: Notify successful update

deactivate RepositoryManager
@enduml",y,10,10,10,y,y,9,8,8,n
75,g27-culrepo.txt,culrepo,"As a patron, I want to email system provider to report issues and ask questions.","@startuml
actor Patron
participant EmailClient
participant SystemProvider

Patron -> EmailClient: Compose email to report issues and ask questions
EmailClient --> Patron: Email composed and ready to send

activate Patron

Patron -> EmailClient: Send email to System Provider
EmailClient --> SystemProvider: Transmit email

activate SystemProvider

SystemProvider -> EmailClient: Receive email from Patron
EmailClient --> Patron: Email received confirmation
SystemProvider --> Patron: Review and respond to email

deactivate SystemProvider

deactivate Patron
@enduml",y,10,10,10,y,y,10,10,10,y
76,g26-racdam.txt,racdam,"As a researcher I want clear citation information on each document, so that I can cite accurately in a publication.","@startuml
actor Researcher
database DocumentDatabase
participant CitationGenerator

Researcher -> DocumentDatabase: Access document information
DocumentDatabase --> Researcher: Retrieve document details

activate Researcher

Researcher -> CitationGenerator: Request citation information
CitationGenerator --> DocumentDatabase: Generate citation based on document details
DocumentDatabase --> CitationGenerator: Provide document details
CitationGenerator --> Researcher: Display citation information

deactivate Researcher
@enduml",y,10,10,10,y,y,10,10,10,y
77,User Stories for Restaurant Management System.txt,Restaurant Management System,"As a manager, I want to track which employees sell the most number of products so that I can increase their salary.","@startuml
actor Manager
database SalesDatabase
participant EmployeeTracker
participant Employee
participant SalaryManager

Manager -> EmployeeTracker: Request sales performance tracking
EmployeeTracker --> SalesDatabase: Retrieve sales data
SalesDatabase --> EmployeeTracker: Provide sales data

activate Manager

Manager -> EmployeeTracker: Identify top-performing employees
EmployeeTracker --> Employee: Notify employees about sales performance evaluation

activate Employee

Employee --> SalesDatabase: Provide additional sales details if needed
SalesDatabase --> Employee: Provide required information

deactivate Employee

EmployeeTracker --> SalaryManager: Request salary increase for top-performing employees
SalaryManager --> EmployeeTracker: Confirm salary increase requests
EmployeeTracker --> Manager: Notify successful salary increases

deactivate Manager
@enduml",y,10,10,10,y,y,9,8,8,n
78,g14-datahub.txt,datahub,"As a Consumer, I want to load a Data Package from R, so that that I can immediately start playing with it.","@startuml
actor Consumer
database REnvironment
participant DataPackageManager
participant DataPackage

Consumer -> REnvironment: Load R environment
REnvironment --> Consumer: R environment loaded successfully

activate Consumer

Consumer -> DataPackageManager: Request to load Data Package
DataPackageManager --> REnvironment: Retrieve Data Package details
REnvironment --> DataPackageManager: Provide Data Package details

activate DataPackageManager

DataPackageManager -> DataPackage: Load Data Package into R
DataPackage --> DataPackageManager: Confirm Data Package loaded
DataPackageManager --> Consumer: Notify successful Data Package load

deactivate DataPackageManager

deactivate Consumer
@enduml
",y,10,10,10,y,y,10,10,10,y
79,User Stories for Library Management System.txt,Library Management System,"As a librarian, I want to add new books to book list.","@startuml
actor Librarian
database BookDatabase
participant BookListManager

Librarian -> BookListManager: Request to add new books
BookListManager --> Librarian: Display current book list

activate Librarian

Librarian -> BookListManager: Provide details of new books
BookListManager --> BookDatabase: Add new books to the database
BookDatabase --> BookListManager: Confirmation of book addition
BookListManager --> Librarian: Notify successful addition

deactivate Librarian
@enduml",y,10,10,10,y,y,10,10,10,y
80,g19-alfred.txt,alfred,"As an OlderPerson, I want to use ALFRED to control the TV and radio.","@startuml
actor OlderPerson
participant ALFRED
participant TV
participant Radio

OlderPerson -> ALFRED: Request to control TV and radio
ALFRED --> OlderPerson: Display available control options

activate OlderPerson

OlderPerson -> ALFRED: Select ""TV"" control option
ALFRED --> TV: Send command to control TV
TV --> ALFRED: Acknowledge TV control

OlderPerson -> ALFRED: Select ""Radio"" control option
ALFRED --> Radio: Send command to control radio
Radio --> ALFRED: Acknowledge radio control

deactivate OlderPerson

@enduml",y,7,10,10,y,y,10,10,10,y
81,g03-loudoun.txt,loudoun,"As a Staff member, I want to Manage Bonds, so that I can track and manage bonds throughout the lifecycle of the project until release.","@startuml
actor StaffMember
database BondDatabase
participant BondManager

StaffMember -> BondManager: Request to manage bonds
BondManager --> StaffMember: Display available bond options

activate StaffMember

StaffMember -> BondManager: Select a bond option
BondManager --> BondDatabase: Retrieve bond details
BondDatabase --> BondManager: Provide bond information

activate BondManager

BondManager -> BondManager: Perform bond management activities
BondManager --> BondDatabase: Update bond information
BondDatabase --> BondManager: Confirmation of bond update
BondManager --> StaffMember: Notify successful bond management

deactivate BondManager

deactivate StaffMember
@enduml",y,10,9,10,y,y,10,10,10,y
82,User Stories for Restaurant Management System.txt,Restaurant Management System,"As a chef, I want to update the allergy warnings of menu items.","@startuml
actor Chef
database MenuDatabase
participant AllergyWarningManager

Chef -> AllergyWarningManager: Request to update allergy warnings
AllergyWarningManager --> Chef: Display current allergy warnings

activate Chef

Chef -> AllergyWarningManager: Specify new allergy warnings for menu items
AllergyWarningManager --> MenuDatabase: Update allergy warnings
MenuDatabase --> AllergyWarningManager: Confirmation of allergy warnings update
AllergyWarningManager --> Chef: Notify successful update

deactivate Chef
@enduml",y,10,10,10,y,y,8,6,6,n
83,User Stories for Restaurant Management System.txt,Restaurant Management System,"As an employee, I want to change orders of a table.","@startuml
actor Employee
database TableDatabase
participant TableOrderManager

Employee -> TableOrderManager: Request to change table orders
TableOrderManager --> Employee: Display current table orders

activate Employee

Employee -> TableOrderManager: Specify new order for the table
TableOrderManager --> TableDatabase: Update table orders
TableDatabase --> TableOrderManager: Confirmation of order update
TableOrderManager --> Employee: Notify successful order change

deactivate Employee
@enduml",y,10,10,10,y,y,10,10,10,y
84,User Stories for Library Management System.txt,Library Management System,"As a library manager, I want to know which books are borrowed most so that I can bring the further copies of the books.","@startuml
actor LibraryManager
database BorrowingDatabase
participant BookCatalog
participant PurchaseManager

LibraryManager -> BorrowingDatabase: Retrieve borrowing statistics
BorrowingDatabase --> LibraryManager: Provide borrowing statistics

activate LibraryManager

LibraryManager -> BookCatalog: Identify most borrowed books
BookCatalog --> BorrowingDatabase: Retrieve book details for most borrowed books

activate PurchaseManager

BorrowingDatabase --> PurchaseManager: Request to purchase additional copies
PurchaseManager --> BorrowingDatabase: Confirm purchase request
BorrowingDatabase --> LibraryManager: Notify about the purchase request

deactivate PurchaseManager

deactivate LibraryManager
@enduml",y,10,6,6,y,y,10,10,10,y
85,User Stories for Library Management System.txt,Library Management System,"As a librarian, I want to edit suggestion list.","@startuml
actor Librarian
database SuggestionDatabase
participant SuggestionEditor

Librarian -> SuggestionEditor: Access suggestion list editor
SuggestionEditor --> Librarian: Display current suggestion list

activate Librarian

Librarian -> SuggestionEditor: Edit suggestions (add, remove, modify)
SuggestionEditor --> SuggestionDatabase: Update suggestion list
SuggestionDatabase --> SuggestionEditor: Confirmation of update
SuggestionEditor --> Librarian: Notify successful edit

deactivate Librarian
@enduml",n,10,4,4,y,y,10,10,10,y
86,g27-culrepo.txt,culrepo,"As a Cornell faculty member, I want to have some control over how items within my collection sort in collection contents lists, so that I can control how my work is presented.","@startuml
actor FacultyMember
participant CollectionManagementTool
database CollectionDatabase
participant SortingManager

FacultyMember -> CollectionManagementTool: Access collection management tool
CollectionManagementTool --> FacultyMember: Display collection contents

activate FacultyMember

FacultyMember -> CollectionManagementTool: Choose sorting preferences
CollectionManagementTool --> SortingManager: Apply sorting preferences
SortingManager --> CollectionDatabase: Retrieve sorted collection contents
CollectionDatabase --> SortingManager: Provide sorted collection contents
SortingManager --> CollectionManagementTool: Display sorted collection contents

deactivate FacultyMember
@enduml",y,10,10,10,y,y,10,10,10,y
87,g25-duraspace.txt,duraspace,"As a DAMS manager, I want to know when permitted and restricted acts and/or their active dates are modified.","@startuml
actor DAMSManager
database DAMSDatabase
participant AuditTrail
participant PermissionManager

DAMSManager -> PermissionManager: Modify permitted/restricted acts or active dates
PermissionManager --> DAMSDatabase: Update permissions and active dates
DAMSDatabase --> AuditTrail: Log modification details

activate DAMSManager

DAMSDatabase --> PermissionManager: Confirmation of modification
PermissionManager --> DAMSManager: Notify successful modification

deactivate DAMSManager
@enduml",n,5,3,2,n,y,10,10,10,y
88,User Stories for Restaurant Management System.txt,Restaurant Management System,"As a restaurant manager, I want to see weekly reports.","@startuml
actor Manager
database SalesDatabase
participant ReportGenerator
participant ReportViewer

Manager -> ReportGenerator: Request weekly sales report
ReportGenerator --> SalesDatabase: Retrieve sales data for the week
SalesDatabase --> ReportGenerator: Provide sales data

activate Manager

ReportGenerator --> ReportViewer: Generate and display weekly sales report

deactivate Manager
@enduml",y,10,10,10,y,y,10,10,10,y
89,g18-neurohub.txt,neurohub,"As a user, I want to sync events created in NeuroHub with a web-based Calendar such as Google Calendar.","@startuml
actor User
participant NeuroHub
database EventDatabase
participant CalendarSyncService
participant GoogleCalendar

User -> NeuroHub: Create event
NeuroHub --> User: Event created successfully

activate User

User -> CalendarSyncService: Request sync with Google Calendar
CalendarSyncService --> NeuroHub: Retrieve user's events
NeuroHub --> EventDatabase: Fetch event details

activate CalendarSyncService

CalendarSyncService -> GoogleCalendar: Sync event with Google Calendar
GoogleCalendar --> CalendarSyncService: Confirmation of sync

deactivate CalendarSyncService

CalendarSyncService --> User: Notify user of successful sync

deactivate User
@enduml",y,7,10,10,n,y,10,10,10,y
90,g11-nsf.txt,nsf,"As a team member, I want to know what visual design related tasks we might need to plan for this sprint, so that I can assign tasks as necessary.","@startuml
actor TeamMember
participant SprintPlanningTool
database TaskDatabase
participant VisualDesignTasksManager

TeamMember -> SprintPlanningTool: Access sprint planning tool
SprintPlanningTool --> TeamMember: Display available tasks

activate TeamMember

TeamMember -> SprintPlanningTool: Filter tasks by visual design
SprintPlanningTool --> TaskDatabase: Retrieve visual design-related tasks
TaskDatabase --> SprintPlanningTool: Provide visual design tasks

deactivate TeamMember

activate VisualDesignTasksManager

SprintPlanningTool -> VisualDesignTasksManager: Analyze visual design tasks
VisualDesignTasksManager --> SprintPlanningTool: Provide insights and recommendations

deactivate VisualDesignTasksManager
@enduml",y,10,8,10,y,y,10,10,10,y
91,g16-mis.txt,mis,"As a repoadmin, I want to have users to be presented with a license or a selection of licenses, specific to the collection, and deposit to be denied if the submitter does not accept the license.","@startuml
actor RepoAdmin
participant LicenseManager
participant User
participant DepositHandler

RepoAdmin -> LicenseManager: Configure licenses for the collection
LicenseManager --> RepoAdmin: Licenses configured successfully

activate RepoAdmin

RepoAdmin -> User: Request deposit for a collection
User --> DepositHandler: Initiate deposit process

activate User
activate DepositHandler

DepositHandler -> LicenseManager: Retrieve collection-specific license(s)
LicenseManager --> DepositHandler: Provide license options

DepositHandler -> User: Present license options for acceptance
User --> DepositHandler: Select a license

alt User accepts the license
    DepositHandler -> DepositHandler: Proceed with deposit
    DepositHandler --> User: Deposit accepted
else User does not accept the license
    DepositHandler --> User: Deposit denied due to license non-acceptance
end

deactivate User
deactivate DepositHandler

deactivate RepoAdmin
@enduml",n,4,2,1,n,y,10,10,10,y
92,User Stories for Restaurant Management System.txt,Restaurant Management System,"As an employee, I want to add a new information about myself to the my employee data","@startuml
actor Employee
database EmployeeDatabase
participant EmployeeProfileManager

Employee -> EmployeeProfileManager: Request to add new information
EmployeeProfileManager --> Employee: Prompt for new information

activate Employee

Employee -> EmployeeProfileManager: Provide new information
EmployeeProfileManager --> EmployeeDatabase: Update employee data

activate EmployeeDatabase

EmployeeDatabase --> EmployeeProfileManager: Confirmation of data update
EmployeeProfileManager --> Employee: Notify successful update

deactivate EmployeeDatabase

deactivate Employee
@enduml",y,10,10,10,y,y,10,10,10,y
93,User Stories for Library Management System.txt,Library Management System,"As a customer, I want to see the availability of books.","@startuml
actor Customer
database LibraryDatabase
participant BookCatalog

Customer -> BookCatalog: Request book availability
BookCatalog --> LibraryDatabase: Check book availability
LibraryDatabase --> BookCatalog: Availability status

activate Customer
activate BookCatalog
activate LibraryDatabase

BookCatalog -> Customer: Display book availability status

deactivate BookCatalog
deactivate LibraryDatabase
deactivate Customer
@enduml
",y,10,10,10,y,y,10,10,10,y
94,g13-planningpoker.txt,planningpoker,"As a user, I want to have nice error pages when something goes wrong, so that I can trust the system and its developers.","@startuml
actor User
participant System
participant ErrorHandling

User -> System: Request to perform an action
System --> User: Perform action or encounter an error

activate System

System -> ErrorHandling: Identify the error
ErrorHandling --> System: Provide error details and display nice error page
System --> User: Show nice error page with details

deactivate System
@enduml",n,8,4,7,n,y,10,10,10,y
95,User Stories for Restaurant Management System.txt,Restaurant Management System,"As a restaurant manager, I want to create, monitor and delegate tasks to workers to increase labor management efficiency.","@startuml
actor Manager
participant TaskManager
participant Worker

Manager -> TaskManager: Create task for workers
TaskManager --> Manager: Task created successfully

activate Manager

Manager -> TaskManager: Monitor task status
TaskManager --> Manager: Display task status

deactivate Manager

activate TaskManager

TaskManager -> Worker: Assign task to worker
Worker --> TaskManager: Acknowledge task assignment
TaskManager --> Manager: Notify task assignment

deactivate TaskManager

@enduml",y,10,1,1,n,y,10,10,10,y
96,g27-culrepo.txt,culrepo,"As a DB/IR administrator, I want to see list of subscribers for specified report in order research missing report complaints.","@startuml
actor Administrator
database ReportDatabase
participant SubscriptionManager
participant User

Administrator -> SubscriptionManager: Request list of subscribers for specified report
SubscriptionManager --> Administrator: List of subscribers

activate Administrator

Administrator -> ReportDatabase: Investigate missing report complaints
ReportDatabase --> Administrator: Report details and complaints

loop for each subscriber in the list
    activate SubscriptionManager
    SubscriptionManager -> User: Notify about missing report
    User --> SubscriptionManager: Acknowledge notification
    deactivate SubscriptionManager
end loop

deactivate Administrator
@enduml",n,10,2,1,n,y,10,10,10,y
